Symbol,company_url,Name,Link,Price_intraday,Change,Change_pct,Volume,Avg_Vol(3M),Market_Cap,P/E_Ratio(TTM)
AAPL,https://finance.yahoo.com/quote/AAPL/,Apple Inc.,https://finance.yahoo.com/chart/AAPL,228.26,-9.61,-4.04%,71.482M,45.54M,3.45T,+37.03
NVDA,https://finance.yahoo.com/quote/NVDA/,NVIDIA Corporation,https://finance.yahoo.com/chart/NVDA,133.57,-2.67,-1.96%,208.025M,212.603M,3.271T,--
TXGE,https://finance.yahoo.com/quote/TXGE/,"Texas Gulf Energy, Incorporated",https://finance.yahoo.com/chart/TXGE,"2,699.59",0.00,0.00%,451,60.487M,3.205T,-0.00
MSFT,https://finance.yahoo.com/quote/MSFT/,Microsoft Corporation,https://finance.yahoo.com/chart/MSFT,424.58,-1.73,-0.41%,15.264M,21.023M,3.157T,+35.11
GOOGL,https://finance.yahoo.com/quote/GOOGL/,Alphabet Inc.,https://finance.yahoo.com/chart/GOOGL,192.91,-2.64,-1.35%,17.752M,27.975M,2.372T,+23.74
GOOG,https://finance.yahoo.com/quote/GOOG/,Alphabet Inc.,https://finance.yahoo.com/chart/GOOG,194.41,-2.57,-1.30%,13.42M,19.31M,2.367T,+23.74
AMZN,https://finance.yahoo.com/quote/AMZN/,"Amazon.com, Inc.",https://finance.yahoo.com/chart/AMZN,220.66,-2.69,-1.20%,24.677M,37.856M,2.32T,+45.78
META,https://finance.yahoo.com/quote/META/,"Meta Platforms, Inc.",https://finance.yahoo.com/chart/META,611.30,-5.82,-0.94%,8.33M,12.598M,1.543T,+27.39
TSLA,https://finance.yahoo.com/quote/TSLA/,"Tesla, Inc.",https://finance.yahoo.com/chart/TSLA,413.82,-14.40,-3.36%,67.611M,93.352M,1.328T,+90.54
TSM,https://finance.yahoo.com/quote/TSM/,Taiwan Semiconductor Manufacturing Company Limited,https://finance.yahoo.com/chart/TSM,214.79,+7.99,+3.86%,35.768M,13.508M,1.114T,+25.87
AVGO,https://finance.yahoo.com/quote/AVGO/,Broadcom Inc.,https://finance.yahoo.com/chart/AVGO,229.41,+1.41,+0.62%,23.414M,28.595M,1.071T,+146.90
BRK-A,https://finance.yahoo.com/quote/BRK-A/,Berkshire Hathaway Inc.,https://finance.yahoo.com/chart/BRK-A,"692,904.00","+4,404.00",+0.64%,"1,079","1,695",997.387B,+9.45
BRK-B,https://finance.yahoo.com/quote/BRK-B/,Berkshire Hathaway Inc.,https://finance.yahoo.com/chart/BRK-B,462.81,+4.30,+0.94%,2.492M,4.022M,997.221B,+9.45
JPM,https://finance.yahoo.com/quote/JPM/,JPMorgan Chase & Co.,https://finance.yahoo.com/chart/JPM,254.27,+1.92,+0.76%,15.279M,9.048M,854.457B,+13.42
WMT,https://finance.yahoo.com/quote/WMT/,Walmart Inc.,https://finance.yahoo.com/chart/WMT,91.30,-0.04,-0.04%,9.667M,16.046M,733.892B,--
LLY,https://finance.yahoo.com/quote/LLY/,Eli Lilly and Company,https://finance.yahoo.com/chart/LLY,757.60,+10.86,+1.45%,3.062M,4.106M,681.322B,+87.77
V,https://finance.yahoo.com/quote/V/,Visa Inc.,https://finance.yahoo.com/chart/V,317.25,+0.97,+0.31%,3.582M,6.022M,613.933B,+31.81
XOM,https://finance.yahoo.com/quote/XOM/,Exxon Mobil Corporation,https://finance.yahoo.com/chart/XOM,111.32,-0.19,-0.17%,7.675M,14.945M,489.261B,+15.14
MA,https://finance.yahoo.com/quote/MA/,Mastercard Incorporated,https://finance.yahoo.com/chart/MA,523.14,+0.79,+0.15%,2.493M,2.587M,480.154B,+39.45
UNH,https://finance.yahoo.com/quote/UNH/,UnitedHealth Group Incorporated,https://finance.yahoo.com/chart/UNH,510.59,-32.83,-6.04%,7.905M,4.694M,469.888B,+39.38
BAC,https://finance.yahoo.com/quote/BAC/,Bank of America Corporation,https://finance.yahoo.com/chart/BAC,46.64,-0.46,-0.98%,50.958M,34.527M,465.852B,+16.70
TCTZF,https://finance.yahoo.com/quote/TCTZF/,Tencent Holdings Limited,https://finance.yahoo.com/chart/TCTZF,48.80,-0.40,-0.81%,100,"11,657",447.015B,--
TCEHY,https://finance.yahoo.com/quote/TCEHY/,Tencent Holdings Limited,https://finance.yahoo.com/chart/TCEHY,48.77,+0.03,+0.06%,"967,352",2.578M,446.741B,--
ORCL,https://finance.yahoo.com/quote/ORCL/,Oracle Corporation,https://finance.yahoo.com/chart/ORCL,159.54,+1.23,+0.78%,7.828M,7.878M,442.095B,+48.87
COST,https://finance.yahoo.com/quote/COST/,Costco Wholesale Corporation,https://finance.yahoo.com/chart/COST,919.75,-3.75,-0.41%,1.346M,1.913M,407.517B,+56.38
HD,https://finance.yahoo.com/quote/HD/,"The Home Depot, Inc.",https://finance.yahoo.com/chart/HD,409.33,+3.24,+0.80%,1.849M,3.312M,406.613B,+27.87
PG,https://finance.yahoo.com/quote/PG/,The Procter & Gamble Company,https://finance.yahoo.com/chart/PG,160.50,+0.85,+0.53%,5.749M,6.75M,377.984B,+28.73
