Symbol,Name,1D_Chart,Price_intraday,Change,Change_pct
^GMNY-TC,GOLDMAN SACHS DYNAMIC NEW YORK,https://finance.yahoo.com/chart/%5EGMNY-TC,"17,126.72","+16,426.87","+2,347.20%"
^TBLL-EU,-,https://finance.yahoo.com/chart/%5ETBLL-EU,"5,756.49","+5,463.19","+1,862.66%"
^DES-EU,WisdomTree U.S. SmallCap Divide,https://finance.yahoo.com/chart/%5EDES-EU,"12,526.78","+11,885.20","+1,852.49%"
^BKDEET,S&P Eastern Europe DR Index (US,https://finance.yahoo.com/chart/%5EBKDEET,"1,095.00","+1,038.64","+1,842.87%"
^BKGEET,S&P Eastern Europe GDR Index (U,https://finance.yahoo.com/chart/%5EBKGEET,"1,165.82","+1,095.41","+1,555.76%"
^SECR-EU,NYLI MACKAY SECURITIZED INCOME,https://finance.yahoo.com/chart/%5ESECR-EU,"6,113.68","+6,533.76","+1,555.36%"
^SPYT-EU,TIDAL TRUST II ETF ESTIMATED CA,https://finance.yahoo.com/chart/%5ESPYT-EU,"2,963.36","+2,783.01","+1,543.12%"
^NDVG-TC,NUVEEN DIVIDEND GROWTH ETF TOTA,https://finance.yahoo.com/chart/%5ENDVG-TC,448.43,+480.33,"+1,505.74%"
^GVUS-EU,GOLDMAN SACHS MARKETBETA RUSSE,https://finance.yahoo.com/chart/%5EGVUS-EU,2.08,+1.93,"+1,286.67%"
^PFXF-EU,VANECK PREFERRED SECURITIES EX,https://finance.yahoo.com/chart/%5EPFXF-EU,241.26,+261.62,"+1,284.97%"
^XLC-TC,The Communication Services Sele,https://finance.yahoo.com/chart/%5EXLC-TC,359.27,+332.30,"+1,232.11%"
^EASG-EU,XTRACKERS MSCI EAFE ESG LEADERS,https://finance.yahoo.com/chart/%5EEASG-EU,0.13,+0.12,"+1,200.00%"
^FNGG-EU,DIREXION DAILY NYSE FANG+ BULL,https://finance.yahoo.com/chart/%5EFNGG-EU,403.72,+372.21,"+1,181.24%"
^IWMY-EU,DEFIANCE R2000 ENHANCED OPTIONS,https://finance.yahoo.com/chart/%5EIWMY-EU,"82,444.01","+90,771.12","+1,090.07%"
^VYM-EU,Vanguard High Dividend Yield In,https://finance.yahoo.com/chart/%5EVYM-EU,366.36,+333.89,"+1,028.51%"
^FLMI-TC,FRANKLIN DYNAMIC MUNICIPAL BOND,https://finance.yahoo.com/chart/%5EFLMI-TC,"53,709.57","+48,787.64",+991.23%
^XOP-EU,SPDR S&P Oil and Gas Explorat,https://finance.yahoo.com/chart/%5EXOP-EU,"1,382.83","+1,252.99",+965.03%
^GBIL-TC,Goldman Sachs Access Treasury 0,https://finance.yahoo.com/chart/%5EGBIL-TC,55.24,+49.81,+917.31%
^IQSU-TC,NYLI CANDRIAM U.S. LARGE CAP EQ,https://finance.yahoo.com/chart/%5EIQSU-TC,65.12,+58.60,+898.77%
^XME-TC,SPDR S&P Metals and Mining ET,https://finance.yahoo.com/chart/%5EXME-TC,270.56,+305.11,+883.10%
^AVUV-TC,Avantis U.S. Small Cap Value ET,https://finance.yahoo.com/chart/%5EAVUV-TC,"36,141.96","+32,300.42",+840.82%
^XMHQ-EU,Invesco S&P MidCap Quality ETF,https://finance.yahoo.com/chart/%5EXMHQ-EU,250.93,+285.36,+828.81%
^USSG-EU,XTRACKERS MSCI USA ESG LEADERS,https://finance.yahoo.com/chart/%5EUSSG-EU,6.38,+5.64,+762.16%
^USIG-EU,iShares Broad USD Investment Gr,https://finance.yahoo.com/chart/%5EUSIG-EU,"2,251.19","+1,987.84",+754.85%
^IQRA-TC,NYLI CBRE REAL ASSETS ETF TOTAL,https://finance.yahoo.com/chart/%5EIQRA-TC,"1,078.00",+944.83,+709.49%
^MIDE-TC,Xtrackers S&P MidCap 400 ESG ET,https://finance.yahoo.com/chart/%5EMIDE-TC,52.33,+45.71,+690.48%
^RMOP-TC,ROCKEFELLER OPPORTUNISTIC MUNIC,https://finance.yahoo.com/chart/%5ERMOP-TC,"130,537.36","+154,455.77",+645.76%
^PIE-EU,Invesco DWA Emerging Markets Mo,https://finance.yahoo.com/chart/%5EPIE-EU,413.65,+491.28,+632.85%
^DFUS-TC,DIMENSIONAL U.S. EQUITY MARKET,https://finance.yahoo.com/chart/%5EDFUS-TC,"2,197.11","+2,641.54",+594.37%
^ONEY-EU,SPDR Series Trust SPDR Russell,https://finance.yahoo.com/chart/%5EONEY-EU,69.78,+59.56,+582.78%
^DEEF-EU,Xtrackers FTSE Developed ex US,https://finance.yahoo.com/chart/%5EDEEF-EU,0.27,+0.23,+575.00%
^AVLV-EU,AVANTIS U.S. LARGE CAP VALUE ET,https://finance.yahoo.com/chart/%5EAVLV-EU,"78,971.54","+67,180.80",+569.78%
^EES-EU,WisdomTree U.S. SmallCap Fund(E,https://finance.yahoo.com/chart/%5EEES-EU,"9,128.83","+7,712.29",+544.45%
^UTSL-TC,Direxion Shares ETF Trust Direx,https://finance.yahoo.com/chart/%5EUTSL-TC,"84,662.13","+38,757.76",+542.32%
^CSHI-TC,NEOS ENHANCED INCOME 1-3 MONTH,https://finance.yahoo.com/chart/%5ECSHI-TC,"38,434.58","+32,009.22",+498.17%
^VDE-EU,Vanguard Energy ETF (Estimated,https://finance.yahoo.com/chart/%5EVDE-EU,"1,118.88",+923.29,+472.06%
^PYPY-TC,YIELDMAX PYPL OPTION INCOME STR,https://finance.yahoo.com/chart/%5EPYPY-TC,"7,020.63","+8,930.96",+467.51%
^VBK-EU,Vanguard Small Cap Growth ETF (,https://finance.yahoo.com/chart/%5EVBK-EU,"1,049.26",+473.56,+463.62%
^DRN-TC,DIREXION DAILY REAL ESTATE BULL,https://finance.yahoo.com/chart/%5EDRN-TC,"21,133.75","+17,171.46",+433.37%
^CRSH-EU,YIELDMAX SHORT TSLA OPTION INCO,https://finance.yahoo.com/chart/%5ECRSH-EU,"16,865.65","+22,110.60",+421.56%
^JPMO-EU,TIDAL TRUST II ETF ESTIMATED CA,https://finance.yahoo.com/chart/%5EJPMO-EU,"33,127.26","+43,962.08",+405.75%
^SNPE-TC,Xtrackers S&P 500 ESG ETF Total,https://finance.yahoo.com/chart/%5ESNPE-TC,29.49,+23.54,+395.63%
^SGDJ-TC,Sprott Junior Gold Miners ETF T,https://finance.yahoo.com/chart/%5ESGDJ-TC,6.97,+5.55,+390.85%
^CRTC-EU,XTRACKERS US NATIONAL CRITICAL,https://finance.yahoo.com/chart/%5ECRTC-EU,0.53,+0.42,+381.82%
^CLDL-EU,DIREXION DAILY CLOUD COMPUTING,https://finance.yahoo.com/chart/%5ECLDL-EU,593.15,+469.39,+379.27%
^FDV-EU,FEDERATED HERMES U.S. STRATEGIC,https://finance.yahoo.com/chart/%5EFDV-EU,173.45,+136.04,+363.65%
^HYLG-EU,GLOBAL X HEALTH CARE COVERED CA,https://finance.yahoo.com/chart/%5EHYLG-EU,"1,704.54","+2,374.36",+354.48%
^COPY-TC,"TWEEDY, BROWNE INSIDER + VALUE",https://finance.yahoo.com/chart/%5ECOPY-TC,"42,492.47","+33,127.93",+353.76%
^AIS-TC,VISTASHARES ARTIFICIAL INTELLIG,https://finance.yahoo.com/chart/%5EAIS-TC,"568,805.38","+439,971.03",+341.50%
