Symbol,Name,Price_intraday,Change,Change_pct,YTD_Return,Three_Months_Return,One_Year_Return,Three_Year_Return,Five_Year_Return,Net_Assets,50_Day_Avg,200_Day_Avg,Morningstar Rating
VTSAX,Vanguard Total Stock Mkt Idx Adm,142.84,-0.14,-0.10%,+1.38%,+2.92%,+26.01%,+25.71%,+30.80%,1.778T,143.57,134.06,3 stars
VTSMX,Vanguard Total Stock Mkt Idx Inv,142.82,-0.13,-0.09%,+1.38%,+2.89%,+25.89%,+25.59%,+30.65%,1.778T,143.53,134.03,3 stars
VSMPX,Vanguard Total Stock Mkt Idx Instl Pls,268.00,-0.25,-0.09%,+1.39%,+2.92%,+26.03%,+25.74%,+30.82%,1.778T,269.14,251.35,3 stars
VSTSX,Vanguard Total Stock Mkt Idx Instl Sel,281.28,-0.27,-0.10%,+1.39%,+2.92%,+26.05%,+25.75%,+30.84%,1.778T,282.48,263.80,3 stars
VITSX,Vanguard Total Stock Market Idx I,142.87,-0.13,-0.09%,+1.38%,+2.92%,+26.02%,+25.73%,+30.81%,1.778T,143.59,134.08,4 stars
VFIAX,Vanguard 500 Index Admiral,548.18,-1.15,-0.21%,+1.21%,+2.64%,+26.24%,+28.66%,+31.46%,1.349T,550.91,516.07,5 stars
VFINX,Vanguard 500 Index Investor,548.24,-1.15,-0.21%,+1.21%,+2.61%,+26.11%,+28.53%,+31.33%,1.349T,550.94,516.10,4 stars
VFFSX,Vanguard 500 Index Institutional Select,290.63,-0.61,-0.21%,+1.21%,+2.65%,+26.28%,+28.70%,+31.49%,1.349T,291.87,273.42,4 stars
FXAIX,Fidelity 500 Index Fund,206.23,-0.44,-0.21%,+1.21%,+2.65%,+26.29%,+28.69%,+31.47%,619.448B,207.29,194.22,5 stars
VGTSX,Vanguard Total Intl Stock Index Inv,19.03,+0.08,+0.42%,0.00%,-4.94%,+15.44%,+8.61%,+21.43%,431.861B,19.48,19.68,3 stars
VTISX,Vanguard Total Intl Stock Idx Instl Sel,134.11,+0.57,+0.43%,+0.02%,-4.93%,+15.56%,+8.70%,+21.59%,431.861B,137.42,138.73,3 stars
VTSNX,Vanguard Total Intl Stock Index I,127.29,+0.54,+0.43%,+0.02%,-4.94%,+15.53%,+8.68%,+21.56%,431.861B,130.31,131.66,3 stars
VTIAX,Vanguard Total Intl Stock Index Admiral,31.83,+0.13,+0.41%,+0.03%,-4.93%,+15.52%,+8.62%,+21.51%,431.861B,32.59,32.92,3 stars
VTPSX,Vanguard Total Intl Stock Idx InstlPls,127.32,+0.54,+0.43%,+0.02%,-4.93%,+15.54%,+8.68%,+21.56%,431.861B,130.34,131.69,3 stars
VBTLX,Vanguard Total Bond Market Index Adm,9.47,+0.02,+0.21%,-0.18%,-2.17%,+5.70%,-1.67%,+8.71%,342.038B,9.55,9.59,3 stars
VBMFX,Vanguard Total Bond Market Index Inv,9.47,+0.02,+0.21%,-0.17%,-2.18%,+5.60%,-1.77%,+8.61%,342.038B,9.55,9.59,3 stars
VBMPX,Vanguard Total Bond Market Idx InstlPls,9.47,+0.02,+0.21%,-0.18%,-2.17%,+5.72%,-1.65%,+8.74%,342.038B,9.55,9.59,3 stars
VTBSX,Vanguard Total Bond Market Idx Instl Sel,9.47,+0.02,+0.21%,-0.17%,-2.15%,+5.74%,-1.63%,+8.76%,342.038B,9.55,9.59,3 stars
VBTIX,Vanguard Total Bond Market Index I,9.47,+0.02,+0.21%,-0.18%,-2.17%,+5.72%,-1.65%,+8.73%,342.038B,9.55,9.59,3 stars
VIIIX,Vanguard Institutional Index Instl Pl,483.68,-1.01,-0.21%,+1.21%,+2.64%,+26.26%,+28.69%,+31.48%,314.898B,490.17,459.94,5 stars
VINIX,Vanguard Institutional Index I,483.69,-1.01,-0.21%,+1.21%,+2.64%,+26.24%,+28.67%,+31.46%,314.898B,490.17,459.94,5 stars
VTBNX,Vanguard Total Bond Market II Idx I,9.34,+0.01,+0.11%,-0.18%,-2.08%,+5.66%,-1.67%,+8.69%,309.451B,9.43,9.47,3 stars
VTBIX,Vanguard Total Bond Market II Idx Inv,9.34,+0.01,+0.11%,-0.18%,-2.10%,+5.58%,-1.73%,+8.62%,309.451B,9.43,9.47,3 stars
CGFFX,American Funds Growth Fund of Amer 529F,74.48,-0.04,-0.05%,+2.28%,+5.54%,+37.45%,+19.50%,+28.32%,297.679B,78.11,73.64,3 stars
RGAHX,American Funds Growth Fund of Amer R5E,75.07,-0.04,-0.05%,+2.27%,+5.54%,+37.45%,+19.53%,+28.37%,297.679B,78.71,74.14,3 stars
CGFAX,American Funds Growth Fund of Amer 529A,74.77,-0.04,-0.05%,+2.26%,+5.48%,+37.12%,+19.28%,+28.06%,297.679B,78.32,73.83,3 stars
RGAGX,American Funds Growth Fund of Amer R6,76.21,-0.03,-0.04%,+2.27%,+5.57%,+37.65%,+19.69%,+28.54%,297.679B,79.87,75.26,3 stars
GFAFX,American Funds Growth Fund of Amer F1,75.39,-0.04,-0.05%,+2.26%,+5.48%,+37.13%,+19.26%,+28.06%,297.679B,78.92,74.39,3 stars
